# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,-4,1,0,2,1,3,2,4,3,4
10,-8,2,5,4,2,6,4,8,6,3
11,-8,2,5,4,7,6,4,8,1,3
12,-6,4,0,3,4,2,3,6,2,6
13,-6,4,5,3,4,2,3,6,2,1
14,-12,8,5,6,3,4,6,12,9,7
15,-12,8,10,6,3,4,6,12,9,2
