# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-3,1,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2
19,-3,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2
20,-3,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2
21,-3,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2
22,-3,1,1,1,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2
23,-3,1,1,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2
24,-3,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2
25,-3,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2
26,-3,1,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,2
27,-3,1,1,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2
28,-3,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,2,2
29,-3,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,2
30,-3,1,1,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2
31,-3,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,2,2
32,-3,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2
33,-3,1,1,1,2,2,1,1,1,2,1,2,2,2,1,1,2,2,2
34,-3,1,1,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,2
35,-3,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,2,2
36,-3,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2
37,-3,1,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2
38,-3,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2
39,-3,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2
40,-3,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2
41,-3,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2
42,-3,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2
43,-3,1,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2
44,-3,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,2
45,-3,1,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2
46,-3,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2
47,-3,1,1,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,2
48,-3,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2
49,-3,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,2,2
50,-3,1,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,2,2
51,-3,1,1,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2
52,-3,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2
53,-3,1,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,2,2
54,-3,1,1,2,2,1,1,2,1,1,2,2,1,2,2,1,1,2,2
55,-3,1,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2
56,-3,1,1,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2
57,-3,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2
58,-3,1,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2
59,-3,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,2
60,-3,1,1,2,2,2,1,1,1,1,2,2,2,2,1,1,1,2,2
61,-3,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2,2
62,-3,1,1,2,2,2,1,2,1,1,2,2,1,2,1,1,1,2,2
63,-3,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2
64,-3,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2
65,-3,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2
66,-3,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2
67,-3,1,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2
68,-3,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2
69,-3,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2
70,-3,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2
71,-3,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2
72,-3,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,1,2
73,-3,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2
74,-3,1,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1,2
75,-3,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,2
76,-3,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2
77,-3,1,2,1,1,1,2,1,1,2,1,2,2,1,2,2,2,1,2
78,-3,1,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2
79,-3,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,2
80,-3,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2
81,-3,1,2,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,2
82,-3,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2
83,-3,1,2,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2
84,-3,1,2,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,2
85,-3,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2
86,-3,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2
87,-3,1,2,1,1,2,2,1,1,2,1,2,2,1,1,2,2,1,2
88,-3,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2
89,-3,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,1,2
90,-3,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2
91,-3,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,2
92,-3,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2
93,-3,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,2,1,2
94,-3,1,2,1,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2
95,-3,1,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,1,2
96,-3,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,2
97,-3,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2
98,-3,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2
99,-3,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,1,2
100,-3,1,2,1,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2
101,-3,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2
102,-3,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2
103,-3,1,2,1,2,2,2,1,2,2,1,1,2,1,1,1,2,1,2
104,-3,1,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2
105,-3,1,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,2
106,-3,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,2
107,-3,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2
108,-3,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2
109,-3,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2
110,-3,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2
111,-3,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2
112,-3,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,2
113,-3,1,2,2,1,1,2,1,1,1,2,2,2,1,2,2,1,1,2
114,-3,1,2,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2
115,-3,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2
116,-3,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2
117,-3,1,2,2,1,2,1,1,1,2,1,2,2,2,1,2,1,1,2
118,-3,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2
119,-3,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,1,2
120,-3,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2
121,-3,1,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2
122,-3,1,2,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,2
123,-3,1,2,2,1,2,2,1,1,1,2,2,2,1,1,2,1,1,2
124,-3,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,1,1,2
125,-3,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2
126,-3,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,2
127,-3,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2
128,-3,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2
129,-3,1,2,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,2
130,-3,1,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2
131,-3,1,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2
132,-3,1,2,2,2,1,2,1,1,2,1,2,2,1,2,1,1,1,2
133,-3,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2
134,-3,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,2
135,-3,1,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2
136,-3,1,2,2,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2
137,-3,1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2
138,-3,1,2,2,2,2,1,2,1,1,2,2,1,2,1,1,1,1,2
139,-3,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,2
140,-3,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2
141,-3,1,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2
142,-3,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2
143,-3,1,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2
144,-3,1,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2
145,-19,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
146,-3,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1
147,-3,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1
148,-3,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1
149,-3,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1
150,-3,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,2,2,1
151,-3,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1
152,-3,2,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1
153,-3,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,2,1
154,-3,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1
155,-3,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1
156,-3,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
157,-3,2,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,2,1
158,-3,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,2,2,1
159,-3,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,2,2,1
160,-3,2,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1
161,-3,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,1
162,-3,2,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1
163,-3,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,1
164,-3,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1
165,-3,2,1,1,2,1,1,1,2,1,2,1,2,2,2,1,2,2,1
