# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-2,0,1,1,2,0,2,0,1,1,2,2,0,1,0,1,2,2
17,-4,0,2,2,1,3,1,3,2,2,4,4,3,2,3,2,1,1
18,-10,0,2,2,4,6,4,6,8,8,10,10,3,5,3,5,7,7
19,-20,0,4,4,8,12,8,12,16,16,20,20,15,10,15,10,5,5
20,-16,0,5,5,10,6,10,6,11,11,16,16,12,8,12,8,4,4
21,-8,0,7,7,5,3,5,3,1,1,8,8,6,4,6,4,2,2
22,-14,0,10,10,2,12,2,12,4,4,14,14,6,7,6,7,8,8
23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-4,1,2,1,2,2,1,3,2,3,4,3,2,2,3,2,2,1
25,-4,1,2,1,2,2,1,3,2,3,4,3,3,2,3,2,1,1
26,-4,1,2,3,2,2,1,3,2,1,4,3,2,2,3,2,2,1
27,-4,2,2,1,2,2,1,3,2,3,4,2,1,2,3,2,3,1
28,-4,2,2,1,2,2,1,3,2,3,4,2,3,2,3,2,1,1
29,-4,2,2,3,3,1,1,3,2,1,4,2,2,2,3,2,2,1
30,-4,3,2,1,1,3,3,1,2,3,4,1,2,2,3,2,2,1
31,-4,3,2,1,2,2,1,3,2,3,4,1,1,2,3,2,3,1
