count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22
1,-8.00,2.67,5.00,5.33,3.67,2.00,2.33,4.67,7.00,3.33,5.67,4.00,4.33,6.67,1.00,1.33,3.67,6.00,2.33,4.67,3.00,3.33,5.67,4.33
1,-4.44,2.67,3.00,1.78,1.22,3.33,2.11,2.44,2.78,2.44,1.00,2.22,1.00,3.11,1.67,1.33,3.44,1.11,3.44,2.00,1.44,2.00,2.33,3.22
1,-8.00,2.67,1.00,5.33,2.67,2.00,5.33,2.67,3.00,4.33,2.67,4.00,5.33,2.67,5.00,5.33,2.67,6.00,5.33,3.67,7.00,5.33,2.67,5.33
1,-8.00,4.00,5.00,4.00,1.00,2.00,5.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,3.00,6.00,3.00,7.00
1,-4.80,3.20,3.00,1.60,3.80,3.60,3.40,2.00,3.00,2.80,3.80,2.40,2.20,2.00,1.80,2.80,2.60,1.20,1.00,2.00,1.80,2.80,1.40,1.00
11,-12.00,4.00,9.00,8.00,7.00,6.00,5.00,10.00,3.00,2.00,7.00,6.00,11.00,4.00,9.00,8.00,1.00,6.00,5.00,10.00,3.00,2.00,7.00,5.00
1,-6.00,4.00,3.75,2.00,1.75,3.50,1.75,3.50,4.25,3.50,3.25,3.00,4.25,1.00,1.75,5.00,1.75,2.50,2.75,2.50,2.25,2.50,4.25,4.25
1,-8.00,4.00,3.00,4.00,3.00,6.00,3.00,6.00,5.00,6.00,1.00,4.00,1.00,4.00,3.00,4.00,7.00,2.00,7.00,2.00,5.00,2.00,5.00,5.00
1,-6.00,4.00,3.00,2.00,4.00,4.50,2.00,3.25,3.75,2.00,2.50,3.00,5.00,4.00,2.25,2.00,1.00,1.50,3.50,4.00,3.00,2.75,4.00,2.00
1,-6.86,2.29,1.29,4.57,3.57,2.57,5.86,4.86,3.86,3.71,2.71,3.43,5.00,4.00,3.00,2.86,1.86,4.29,4.14,3.14,5.57,2.00,1.00,3.29
2,-8.00,4.00,7.00,4.00,3.00,6.00,3.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,5.00,5.00
1,-6.00,4.00,1.95,2.00,2.35,1.50,2.75,4.30,3.45,3.50,3.85,3.00,4.25,1.00,2.55,5.00,1.75,4.50,2.15,2.50,4.05,1.70,3.25,3.65
2,-8.00,5.33,5.00,2.67,5.00,2.00,5.00,2.00,4.33,2.00,7.00,4.00,7.00,4.00,3.67,4.00,1.00,6.00,1.00,6.00,3.00,6.00,3.00,3.00
1,-8.00,5.33,5.00,2.67,5.00,2.00,5.00,2.00,3.00,2.00,7.00,4.00,4.33,4.00,5.00,4.00,3.67,6.00,1.00,6.00,3.00,6.00,3.00,3.00
1,-8.00,2.67,1.00,5.33,3.67,2.00,6.33,4.67,3.00,3.33,5.67,4.00,4.33,6.67,5.00,1.33,3.67,6.00,2.33,4.67,7.00,3.33,1.67,4.33
1,-8.00,2.67,3.00,5.33,5.67,6.00,3.00,6.00,1.00,3.33,3.67,4.00,3.67,4.00,7.00,4.00,4.33,2.00,4.33,4.67,5.00,2.00,5.00,2.33
1,-8.00,5.33,3.00,2.67,4.33,6.00,5.67,3.33,1.00,4.67,2.33,4.00,3.67,5.33,7.00,2.67,4.33,2.00,5.67,3.33,5.00,4.67,2.33,3.67
1,-8.00,4.00,5.00,4.00,5.00,2.00,5.00,6.00,3.00,2.00,3.00,4.00,7.00,4.00,5.00,4.00,1.00,6.00,5.00,6.00,3.00,2.00,3.00,3.00
1,-8.00,4.00,3.00,4.00,5.00,6.00,3.00,6.00,1.00,2.00,5.00,4.00,5.00,4.00,7.00,4.00,3.00,2.00,3.00,6.00,5.00,2.00,5.00,3.00
27,-24.00,16.00,9.00,8.00,1.00,18.00,17.00,10.00,3.00,2.00,19.00,12.00,11.00,4.00,21.00,20.00,13.00,6.00,5.00,22.00,15.00,14.00,7.00,23.00
2,-8.00,2.67,5.00,5.33,2.33,2.00,2.33,4.67,7.00,4.67,1.67,4.00,4.33,6.67,1.00,1.33,3.67,6.00,6.33,3.33,3.00,3.33,5.67,5.67
7,-12.00,4.00,7.50,8.00,5.50,3.00,3.50,7.00,10.50,11.00,2.50,6.00,6.50,10.00,1.50,2.00,5.50,9.00,9.50,1.00,4.50,5.00,8.50,6.50
1,-6.00,2.00,2.25,4.00,1.25,4.50,3.25,2.50,3.75,2.50,4.75,3.00,2.75,5.00,2.25,1.00,3.25,1.50,1.25,3.50,3.75,3.50,2.75,4.75
1,-6.00,2.00,3.00,4.00,5.00,1.50,2.50,2.00,3.00,4.00,5.00,3.00,1.00,2.00,3.00,4.00,5.00,4.50,1.00,2.00,3.00,4.00,3.50,1.00
1,-6.00,2.00,2.25,4.00,4.25,4.50,4.75,3.50,2.25,2.50,2.75,3.00,4.75,5.00,3.75,1.00,1.25,1.50,3.25,3.50,3.75,2.50,1.25,1.75
1,-8.00,5.33,7.00,2.67,4.33,6.00,2.67,3.33,5.00,2.67,2.33,4.00,2.67,5.33,3.00,2.67,5.33,2.00,5.67,5.33,1.00,4.67,5.33,3.67
2,-8.00,4.00,5.00,4.00,5.00,2.00,5.00,6.00,7.00,2.00,3.00,4.00,3.00,4.00,1.00,4.00,5.00,6.00,5.00,6.00,3.00,2.00,3.00,3.00
1,-6.00,4.00,4.50,2.00,2.50,3.00,2.00,4.00,3.00,5.00,4.00,3.00,3.50,4.00,3.00,2.00,2.50,3.00,2.00,1.00,1.50,2.00,4.00,3.50
1,-4.00,1.33,1.50,2.67,2.33,3.00,2.67,1.33,2.50,2.67,1.33,2.00,2.67,1.33,1.50,2.67,1.33,1.00,2.67,1.33,2.50,2.67,1.33,1.67
1,-6.00,4.00,1.50,2.00,4.00,3.00,2.00,4.00,3.00,2.00,1.00,3.00,2.00,2.50,3.00,3.50,4.00,3.00,5.00,4.00,4.50,2.00,4.00,2.00
